name,gender
Tom Tykwer,m
Hayao Miyazaki,m
Andrzej Sekula,m
Harvey Weinstein,m
Charlie Chaplin,m
Steven Haft,m
Tonino Delli Colli,m
Akira Kurosawa,m
Andrew Lesnie,m
Alfred Newman,m
Paul Junger Witt,m
Hans Zimmer,m
Wojciech Kilar,m
George Tomasini,m
Terri Taylor,f
Angelo Ragusa,m
Arthur Max,m
Nancy Haigh,f
James A. Gleason,m
Samuel A. Taylor,m
Robert Zemeckis,m
Reginald Mills,m
Wendy Carlos,f
Ryu Seong-hee,f
Charles D. Hall,m
Ed Guiney,m
Isao Takahata,m
Ngila Dickson,f
George Milo,m
Makoto Shinkai,m
Hal Pereira,m
Stephen King,m
Carl Tibbetts,m
John Mollo,m
Peter Jackson,m
Branko Lustig,m
Agenore Incrocci,m
James Newton Howard,m
Barrie M. Osborne,m
Gabriella Pescucci,f
Kenneth Kokin,m
Nenad Pečur,m
George Lucas,m
Leonid Raab,m
Nicola Piovani,m
Bob Weinstein,m
Michael Powell,m
Lana Wachowski,f
Fumio Hayasaka,m
Philippa Boyens,f
Andrzej Sekula,m
Stanley Kubrick,m
Tomoyuki Tanaka,m
Ray Lovejoy,m
Deborah Lynn Scott,f
Albert S. Ruddy,m
Stanley Kubrick,m
Michael Lynne,m
Angelo Badalamenti,m
Chung Seo-kyung,f
James W. Brown,m
Andrew Lesnie,m
Kristi Zea,f
Steven Spielberg,m
Peter Bucossi,m
Fiona Weir,f
Charlie Chaplin,m
Tonino Delli Colli,m
Jean C. Havez,m
Sôjirô Motoki,m
Christopher Ball,m
Fred Lau,m
Takafumi Watanabe,m
Alfred Hitchcock,m
Bob Weinstein,m
Martin Scorsese,m
Buster Keaton,m
Reginald Rose,m
Guel Arraes,m
Dan Kolsrud,m
Charlie Chaplin,m
Stephen Chbosky,m
Charles Brackett,m
Peter Zinner,m
Mathieu Vadepied,m
Michihiro Itou,m
Furio Scarpelli,m
Shinobu Hashimoto,m
Christopher Nolan,m
Rodrigo Teixeira,m
Toshio Suzuki,m
Christer Melén,m
Xavier Dolan,m
Paul Hirsch,m
Peter Weir,m
Pawel Edelman,m
Kim Sang-beom,m
Philip Smith,m
Ennio Morricone,m
Marcia Lucas,f
Fred Roos,m
Steve Tisch,m
Christopher McQuarrie,m
Stanley Kubrick,m
Edward Small,m
Deborah Aquila,f
Louis C.K.,m
Liz Glotzer,f
Tessa Ross,f
Dean Tavoularis,m
Frank Darabont,m
Todd Hallowell,m
Cindy Evans,f
Jack Keller,m
Richard Bruno,m
Vic Ramos,m
Laura Ballinger,f
Jonathan Demme,m
Jason Blum,m
Edward G. Boyle,m
Wally Westmore,m
Takeshi Seyama,m
Wendy Finerman,f
Thomas Harris,m
Georg Krause,m
Dianne Crittenden,f
Stephen King,m
Agenore Incrocci,m
W. Wallace Kelley,m
Mamoru Hosoda,m
Philip Ivey,m
Reginald Rose,m
Barbara De Fina,f
Takahiro Omori,m
Masaru Satô,m
James Ivory,m
Todd M. Thaler,m
Xavier Dolan,m
Gilbert Taylor,m
Jacques Becker,m
Kazuya Tsurumaki,m
Takao Saitô,m
Steve Conrad,m
Noriyoshi Oohira,m
Emma Thomas,f
Mark Frost,m
Tricia Wood,f
Clint Mansell,m
Takeshi Seyama,m
Russell Harlan,m
Alfred Newman,m
David Klotz,m
Akira Kurosawa,m
Michiyo Yasuda,f
Michael E. Phillips,m
Norman Reynolds,m
David F. Klassen,m
Reginald Rose,m
Karl Struss,m
Philippa Boyens,f
Lindy Hemming,f
Javed Siddiqui,m
Sion Sono,m
Walter Fasano,m
James B. Harris,m
Michio Mamiya,m
Lawrence G. Paull,m
David Wasco,m
Carlo Simi,m
Terence Marsh,m
Brad Ricker,m
Dean Tavoularis,m
Fran Walsh,f
Ronnie Yeskel,f
Richard Francis-Bruce,m
Hayao Miyazaki,m
Don Burgess,m
Tokuzô Tanaka,m
Wendy Stites,f
Emeric Pressburger,m
William M. Anderson,m
Mark Ordesky,m
William A. Farley,m
Dan Hennah,m
Ennio Morricone,m
Roman Polanski,m
Vincenzo Cerami,m
Eva Kroll,f
Gary Goetzman,m
Roy Walker,m
Hideo Oguni,m
Maher Ahmad,m
Francis Ford Coppola,m
Joe Hutshing,m
Takahiro Omori,m
William Reynolds,m
David Valdes,m
Bob Gale,m
Nathan Crowley,m
Sergio Leone,m
John Ottman,m
Ronald M. Bozman,m
Luc Besson,m
Park Chan-wook,m
Yash Chopra,m
David McKenna,m
Charlie Chaplin,m
John L. Russell,m
Edith Head,f
Cornell Woolrich,m
Ross Grayson Bell,m
Takeshi Seyama,m
Thomas Newman,m
Sue Vertue,f
Steve Tisch,m
Fran Walsh,f
Michael De Luca,m
Christopher Nolan,m
Fred Roos,m
Agenore Incrocci,m
Hervé de Luze,m
Arthur Schmidt,m
Jon Gregory,m
Anna B. Sheppard,f
Willard Nico,m
Alan Silvestri,m
Thomas Narcejac,m
Howard Shore,m
Michael Powell,m
Nino Rota,m
Andrea Morricone,f
John Soukup,m
Helen Estabrook,f
Mark Ordesky,m
Hayao Miyazaki,m
Willard Nico,m
Michael Lynne,m
Franz Waxman,m
André Aciman,m
Michihiro Itou,m
Nick Hurran,m
Peter Jackson,m
Darius Khondji,m
Danny Cohen,m
Ray Moyer,m
Stanley Kubrick,m
J. Russell Spencer,m
