name,gender
Matheus Nachtergaele,m
Leland Orser,m
Emma Dunn,f
Hugo Weaving,m
Sam Rockwell,m
Barry Dennen,m
Robert De Niro,m
Rafe Spall,m
Gero Camilo,m
Jessica Chastain,f
Cecil B. DeMille,m
Billy Dee Williams,m
Avery Brooks,m
George Martin,m
Friedrich von Thun,m
Reda Guerinik,m
Ellen Page,f
Bess Flowers,f
Elle McKinnon,f
Lee Strasberg,m
Kevin Pollak,m
Elijah Wood,m
Ralph Meeker,m
Brad Dourif,m
Jack Warden,m
Bruno Kirby,m
Karan Johar,m
Mugihito,m
Henry Daniell,m
Marina Massironi,f
Paul Bradley,m
Patrick Huard,m
Jack Oakie,m
Patrick Troughton,m
Claire Geare,f
Mario De Simone,m
Domingos Montagner,m
Lloyd Gough,m
Patricia Hamilton,f
Rosanna Arquette,f
Seiji Miyaguchi,m
Al Pacino,m
Una O'Connor,f
Noah Jupe,m
Dominique Zardi,m
Darlanne Fluegel,f
Angela Jones,f
Grégoire Oestermann,m
John Rhys-Davies,m
Owen Wilson,m
Renato Salvatori,m
Chazz Palminteri,m
Shima Iwashita,f
Abbie Cornish,f
Tsunehiko Kamijô,m
Julia Roberts,f
Andrzej Seweryn,m
André Bervil,m
Shota Sometani,m
Eric Berry,m
Richard LeParmentier,m
Stephen Tobolowsky,m
Sean Bridgers,m
Sean Astin,m
William H. Macy,m
Gary Oldman,m
David Prowse,m
Jonathan Crombie,m
Ugo Tognazzi,m
Lucas Hedges,m
Leandro Firmino,m
Sergio Bini Bustric,m
Caroline Goodall,f
Simon Oakland,m
Colin Baker,m
Brad Pitt,m
John Travolta,m
Jason Wingreen,m
Henry Fonda,m
James Stewart,m
Amanda Plummer,f
Will Swenson,m
Leandra Leal,f
John Hurt,m
Austin Stowell,m
Salimata Kamate,f
Minoru Chiaki,m
Edward Bunker,m
Tatsuya Nakadai,m
Luc Bernard,m
Elsa Lanchester,f
Topher Grace,m
Tony Darrow,m
Chuck Low,m
Bernard Hill,m
Dominique Daguier,m
John Williams,m
Dominic Monaghan,m
Robin Wright,f
Kate Drummond,f
Dorothée Brière,f
Wayne Morris,m
Denis Lawson,m
Raymond Meunier,m
Alice Braga,f
Toby Onwumere,m
Mitsunori Isaki,m
Lawrence Makoare,m
Colin Kenny,m
Ryou Narita,m
George Davis,m
Stacy Keach,m
Kim Min-hee,f
Jerry Verno,m
Kaoru Kobayashi,m
Dominic Desnoyers,m
Sabrina Bisson,f
Albert Bassermann,m
Ian McKellen,m
Una Stubbs,f
Edward Norton,m
Jennifer Lien,f
Tiny Sandford,m
Joan Chen,f
Harrison Ford,m
Akira Ishida,m
Kofi Siriboe,m
Richard Bright,m
Pete Postlethwaite,m
Machiko Kyô,f
Minoru Chiaki,m
Joe Keaton,m
Paula Malcomson,f
Lenny Montana,m
Melissa Benoist,f
John Cazale,m
Carter DeHaven,m
Yoshio Inaba,m
Memmo Carotenuto,m
Takehito Koyasu,m
Cate Blanchett,f
Alexandre Mihalesco,m
Kyle Harrison Breitkopf,m
Claudia Cardinale,f
Angelo Novi,m
Gil Bellows,m
Alec Guinness,m
Dominic Chianese,m
William Holden,m
Richard Roundtree,m
Haruko Kato,f
Lea Thompson,f
Yôko Katsuragi,f
Thiago Martins,m
James Greene,m
Mort Mills,m
Dominic Monaghan,m
Sean Bean,m
Mitsuko Mito,f
Ichirô Sugai,m
David Gyasi,m
Kuniko Miyake,f
Mario Scarpetta,m
Al Ernest Garcia,m
Carl Ciarfalio,m
Christopher Jones,m
Eitarô Shindô,m
Peter Capell,m
Sandy Martin,f
Paul Reiser,m
Christopher Eccleston,m
Maurice Schutz,m
Jean-Philippe Baril-Guérard,m
Yuriko Ishida,f
Michel Simon,m
Dominic Monaghan,m
Max Riemelt,m
Michael Massee,m
Sô Yamamura,m
Christopher Berry,m
Andrew Scott,m
Tatsuya Mihashi,m
Carrie Fisher,f
Chieko Baishô,f
Sayaka Ohara,f
Tom Helmore,m
Amanda Brugel,f
Claudio Gora,m
Virginia Cherrill,f
Miguel Ángel Silvestre,m
Akiji Kobayashi,m
Bruce Willis,m
George Voskovec,m
Ed Begley,m
Michael Clarke Duncan,m
Shelagh Fraser,f
Bob Gunton,m
Larry Brandenburg,m
Armie Hammer,m
Haley Joel Osment,m
Kewpie Morgan,m
Tatsuya Gashûin,f
Marco Zuanelli,m
Adelaide Alaïs,f
George Kelly,m
Michel Constantin,m
Paul Bartel,m
Jean Becker,m
Franco Catalano,m
Vittorio Gassman,m
Tim Roth,m
Kathryn Mullen,f
Steve Bacic,m
Etsuko Ichihara,f
Joan Allen,f
Chris Penn,m
Marco Nanini,m
Siobhan Fallon,f
Scott Glenn,m
François Caron,m
Phil LaMarr,m
Russ Fega,m
Takako Fuji,f
Tiberio Murgia,m
Josh Stewart,m
Gabriele Ferzetti,m
Rodrigo Fernandez- Stoll,m
Claudia Wells,f
Barbara Bel Geddes,f
Treat Williams,m
Yūnosuke Itō,m
Ayane Sakura,f
Piper Laurie,f
Judith Evelyn,f
Crystal Lowe,f
Lara Flynn Boyle,f
Dan Hedaya,m
Alexandra Powers,f
Eve Brent,f
Bert Freed,m
Anthony Perkins,m
Louis C.K.,m
Eijirō Tōno,m
Ted Pluviose,m
Bernard Blier,m
Timothée Chalamet,m
Terrence Mann,m
Anna Mucha,f
Dabbs Greer,m
Catherine Scorsese,f
Edward Norton,m
Jemma Redgrave,f
Tetsurō Tamba,m
Esmond Knight,m
Absa Diatou Toure,f
Mone Kamishiraishi,f
Sally Field,f
Afemo Omilami,m
Larry J. Blake,m
Sammy Stein,m
Frank Sivero,m
Roberto Benigni,m
Jean-Louis Trintignant,m
William Forsythe,m
Ben Kingsley,m
Raymond Bailey,m
Catherine Spaak,f
Heath Ledger,m
Colleen Dewhurst,f
Joanna Page,f
Eijirō Tōno,m
Liv Tyler,f
Alex Sol,m
William Redfield,m
Cillian Murphy,m
Frank Albertson,m
Hisaya Morishige,m
Tôru Abe,m
Garrick Hagon,m
Masao Mishima,m
Mari Natsuki,f
Eli Wallach,m
Sydney Lassick,m
Michelle Williams,f
Kokuten Kôdô,m
Zac Efron,m
Al Mulock,m
Rada Rassimov,f
Maria Falconetti,f
Lamberto Maggiorani,m
Maria Pia Casilio,f
John Lithgow,m
Keith Szarabajka,m
Marius Goring,m
Jack Nance,m
Peter Appel,m
Uma Thurman,f
John Marley,m
Bess Flowers,f
Tom McCamus,m
Roger Corman,m
Leslie Schofield,m
Bob Stephenson,m
Ken Yasuda,m
Jennifer Connelly,f
Gary Sinise,m
Kotono Mitsuishi,f
Charles Bronson,m
Ken Bones,m
Antonio Molino Rojo,m
Yuko Miyamura,f
John Cazale,m
Lee Patrick,f
Natalia Tena,f
Louis Ravet,m
Michael Badalucco,m
Frank Medrano,m
Satish Shah,m
Christian Bale,m
Clarence Williams III,m
Ted Levine,m
Clancy Brown,m
Woody Strode,m
