name,gender
Aaron Rosenberg,m
Andy Keir,m
Frank Miller,m
Nathan Larson,m
Lawrence Konner,m
Marcus Dunstan,m
Robert McLachlan,m
Ellen Chenoweth,f
Erika Hampson,f
Billy Hopkins,m
Michael G. Wilson,m
Deborah Lynn Scott,f
Tôru Takemitsu,m
Jack Hofstra,m
Andrew London,m
Michael Kane,m
David E. Talbert,m
Joe Eszterhas,m
David Watkin,m
James D. Bissell,m
Christopher Tellefsen,m
Cezary Skubiszewski,m
Jason Ward,m
Andrew Stanton,m
Hirokazu Koreeda,m
Robert Bresson,m
Howard Rosenman,m
Alar Kivilo,m
Kevin Constant,m
Michael Berk,m
John Gilbert,m
Adam Bohling,m
Carlo Simi,m
Neil Burger,m
Richard Vane,m
Phyllis Huffman,f
Pascaline Chavanne,f
Mary-Lou Storey,f
Lauren Grey,f
Karen Koch,f
William Lustig,m
Mark Egerton,m
Glenn Berger,m
Carl Thiel,m
David Holmes,m
Peter Weir,m
Andrea Flesch,f
Gabe Sachs,m
Sam Comer,m
David Puttnam,m
Carl Pingitore,m
Christopher Nolan,m
Paul Schiff,m
Marcia Hinds,f
Walter Murch,m
Anthony Scott Burns,m
William M. Elvin,m
Jay Oliva,m
Irwin Winkler,m
Robert Nelson,m
Michael Winterbottom,m
Michael Ireland,m
Dolly Ahluwalia,f
Peter Borck,m
Ron Bochar,m
Conrad Vernon,m
Lisa Taylor Roberts,f
Stephen Warbeck,m
Evan Spiliotopoulos,m
Andy Weiss,m
Jany Temime,f
John Howe,m
Byron Howard,m
Michael Brandt,m
Christian Gudegast,m
Russell Smith,m
Barry Zetlin,m
Jeff Levine,m
Akira Toriyama,m
A.J. Edwards,m
John Penotti,m
Patricia McNeil,f
Richard Gibbs,m
James Horner,m
Amy Heckerling,f
Angela Robinson,f
Gene Serdena,m
Jun Falkenstein,f
Peter Sova,m
Winton C. Hoch,m
Keith Addis,m
KristieAnne Reed,f
Tripp Vinson,m
Laura Rister,f
Christopher Cain,m
Gil Friesen,m
Brett Ratner,m
John Frankenheimer,m
Michael Atwell,m
Julian Mitchell,m
Sandra Montgomery,f
Kerry Barden,m
Robert H. Solo,m
François Boyer,m
Alfio Contini,m
Chris Kennedy,m
Sheila Allen,f
Nelson Coates,m
Michael Bay,m
Francis Lawrence,m
Nigel Westlake,m
Nelson Shin,m
P.J. Hogan,m
Alan Silvestri,m
Michael Ballhaus,m
Juan Antonio Bayona,m
Goran Bregović,m
Natalie Lyon,f
Mark Christopher,m
Alfred Roome,m
Bobby Bukowski,m
Rich Mento,m
Federico Fellini,m
Charlie Kaufman,m
Eyde Belasco,f
Arnon Milchan,m
Lynn Stalmaster,m
William Wharton,m
Merie Weismiller Wallace,f
John Lasseter,m
Rachid Bouchareb,m
Stan Dragoti,m
Rachel Talalay,f
Scott Speer,m
Gaston Glass,m
William H. Daniels,m
Amy E. Duddleston,f
Alan Glazer,m
Ken Chase,m
Joel Coen,m
David Wasco,m
Jesús Ochoa,m
Richard Bryce Goodman,m
Tyler Perry,m
Jonathan Lee,m
Eric Sundahl,m
Chris Papavasiliou,m
Herman F. Zimmerman,m
David Kirschner,m
Douglas Urbanski,m
Peter Newman,m
Stephen Gaghan,m
Eric Fellner,m
John Fenner,m
Vincent Palmo Jr.,m
Richard D. Zanuck,m
Didier Decoin,m
Frank Hübner,m
Mary Selway,f
Clifford Odets,m
Tom Warren,m
Terry Ackland-Snow,m
Meghan C. Rogers,f
Rodrigo Prieto,m
John Debney,m
Neil Gaiman,m
